methodName;<lowerBound,upperBound>;numberOfThreads;primeCounter;czasPrzetwarzania[ms];przyspieszeniePR;predkoscPrztwarzania[szt/s];efektywnoscPR;
metodaDzielacaSekwencyjna;<2,10000000>;1;664579;15793;0.000000;633;0.000000;
metodaDzielacaRownolegla;<2,10000000>;1;664579;15865;0.995462;630;0.995462;
metodaDzielacaRownolegla;<2,10000000>;2;664579;8124;1.943993;1230;0.971997;
metodaDzielacaRownolegla;<2,10000000>;4;664579;4823;3.274518;2073;0.818630;
metodaDzielacaRownolegla;<2,10000000>;8;664579;3742;4.220470;2672;0.527559;
metodaSitaSekwencyjna;<2,10000000>;1;664579;169;0.000000;59171;0.000000;
metodaSitaRownoleglaDomenowa;<2,10000000>;1;664579;142;1.190141;70422;1.190141;
metodaSitaRownoleglaDomenowa;<2,10000000>;2;664579;72;2.347222;138888;1.173611;
metodaSitaRownoleglaDomenowa;<2,10000000>;4;664579;52;3.250000;192307;0.812500;
metodaSitaRownoleglaDomenowa;<2,10000000>;8;664579;40;4.225000;249999;0.528125;
metodaSitaRownoleglaFunkcyjna;<2,10000000>;1;664579;175;0.965714;57142;0.965714;
metodaSitaRownoleglaFunkcyjna;<2,10000000>;2;664579;101;1.673267;99009;0.836634;
metodaSitaRownoleglaFunkcyjna;<2,10000000>;4;664579;51;3.313725;196078;0.828431;
metodaSitaRownoleglaFunkcyjna;<2,10000000>;8;664579;51;3.313725;196078;0.414216;
metodaDzielacaSekwencyjna;<2,5000000>;1;348513;6110;0.000000;818;0.000000;
metodaSitaSekwencyjna;<2,5000000>;1;348513;39;0.000000;128205;0.000000;
metodaDzielacaRownolegla;<2,5000000>;1;348513;6006;1.017316;832;1.017316;
metodaDzielacaRownolegla;<2,5000000>;2;348513;3748;1.630203;1334;0.815101;
metodaDzielacaRownolegla;<2,5000000>;4;348513;2685;2.275605;1862;0.568901;
metodaDzielacaRownolegla;<2,5000000>;8;348513;2204;2.772232;2268;0.346529;
metodaSitaRownoleglaDomenowa;<2,5000000>;1;348513;88;0.443182;56818;0.443182;
metodaSitaRownoleglaDomenowa;<2,5000000>;2;348513;47;0.829787;106382;0.414894;
metodaSitaRownoleglaDomenowa;<2,5000000>;4;348513;35;1.114286;142857;0.278571;
metodaSitaRownoleglaDomenowa;<2,5000000>;8;348513;29;1.344828;172413;0.168103;
metodaSitaRownoleglaFunkcyjna;<2,5000000>;1;348513;96;0.406250;52083;0.406250;
metodaSitaRownoleglaFunkcyjna;<2,5000000>;2;348513;55;0.709091;90909;0.354545;
metodaSitaRownoleglaFunkcyjna;<2,5000000>;4;348513;32;1.218750;156249;0.304688;
metodaSitaRownoleglaFunkcyjna;<2,5000000>;8;348513;38;1.026316;131578;0.128289;
metodaDzielacaSekwencyjna;<5000000,10000000>;1;316066;10948;0.000000;456;0.000000;
metodaSitaSekwencyjna;<5000000,10000000>;1;316066;52;0.000000;96153;0.000000;
metodaDzielacaRownolegla;<5000000,10000000>;1;316066;10745;1.018893;465;1.018893;
metodaDzielacaRownolegla;<5000000,10000000>;2;316066;5906;1.853708;846;0.926854;
metodaDzielacaRownolegla;<5000000,10000000>;4;316066;3712;2.949353;1346;0.737338;
metodaDzielacaRownolegla;<5000000,10000000>;8;316066;2830;3.868551;1766;0.483569;
metodaSitaRownoleglaDomenowa;<5000000,10000000>;1;316066;69;0.753623;72463;0.753623;
metodaSitaRownoleglaDomenowa;<5000000,10000000>;2;316066;35;1.485714;142857;0.742857;
metodaSitaRownoleglaDomenowa;<5000000,10000000>;4;316066;23;2.260870;217391;0.565217;
metodaSitaRownoleglaDomenowa;<5000000,10000000>;8;316066;21;2.476191;238095;0.309524;
metodaSitaRownoleglaFunkcyjna;<5000000,10000000>;1;316066;75;0.693333;66666;0.693333;
metodaSitaRownoleglaFunkcyjna;<5000000,10000000>;2;316066;40;1.300000;125000;0.650000;
metodaSitaRownoleglaFunkcyjna;<5000000,10000000>;4;316066;26;2.000000;192307;0.500000;
metodaSitaRownoleglaFunkcyjna;<5000000,10000000>;8;316066;30;1.733333;166666;0.216667;
