methodName	lowerBound	upperBound	threadNumber	primeCounter	durationSeconds		
metodaDzielacaSekwencyjna	2	10000000	1	664579	15.621000		
metodaSitaSekwencyjna	2	10000000	1	664579	0.113000		
metodaDzielacaRownolegla	2	10000000	1	664579	15.829000		
metodaSitaRownoleglaDomenowa	2	10000000	1	664579	0.117000		
metodaSitaRownoleglaFunkcyjna	2	10000000	1	664579	0.160000		
metodaDzielacaRownolegla	2	10000000	2	664579	8.163000		
metodaSitaRownoleglaDomenowa	2	10000000	2	664579	0.066000		
metodaSitaRownoleglaFunkcyjna	2	10000000	2	664579	0.142000		
metodaDzielacaRownolegla	2	10000000	4	664579	4.784000		
metodaSitaRownoleglaDomenowa	2	10000000	4	664579	0.039000		
metodaSitaRownoleglaFunkcyjna	2	10000000	4	664579	0.143000		
metodaDzielacaRownolegla	2	10000000	8	664579	3.478000		
metodaSitaRownoleglaDomenowa	2	10000000	8	664579	0.052000		
metodaSitaRownoleglaFunkcyjna	2	10000000	8	664579	0.186000		
metodaDzielacaSekwencyjna	5000000	10000000	1	316066	10.064000		
metodaSitaSekwencyjna	5000000	10000000	1	316066	0.041000		
metodaDzielacaRownolegla	5000000	10000000	1	316066	10.370000		
metodaSitaRownoleglaDomenowa	5000000	10000000	1	316066	0.046000		
metodaSitaRownoleglaFunkcyjna	5000000	10000000	1	316066	0.060000		
metodaDzielacaRownolegla	5000000	10000000	2	316066	7.391000		
metodaSitaRownoleglaDomenowa	5000000	10000000	2	316066	0.040000		
metodaSitaRownoleglaFunkcyjna	5000000	10000000	2	316066	0.088000		
metodaDzielacaRownolegla	5000000	10000000	4	316066	5.385000		
metodaSitaRownoleglaDomenowa	5000000	10000000	4	316066	0.030000		
metodaSitaRownoleglaFunkcyjna	5000000	10000000	4	316066	0.111000		
metodaDzielacaRownolegla	5000000	10000000	8	316066	3.918000		
metodaSitaRownoleglaDomenowa	5000000	10000000	8	316066	0.033000		
metodaSitaRownoleglaFunkcyjna	5000000	10000000	8	316066	0.129000		
metodaDzielacaSekwencyjna	2	5000000	1	348513	6.737000		
metodaSitaSekwencyjna	2	5000000	1	348513	0.043000		
metodaDzielacaRownolegla	2	5000000	1	348513	6.039000		
metodaSitaRownoleglaDomenowa	2	5000000	1	348513	0.042000		
metodaSitaRownoleglaFunkcyjna	2	5000000	1	348513	0.053000		
metodaDzielacaRownolegla	2	5000000	2	348513	3.370000		
metodaSitaRownoleglaDomenowa	2	5000000	2	348513	0.028000		
metodaSitaRownoleglaFunkcyjna	2	5000000	2	348513	0.064000		
metodaDzielacaRownolegla	2	5000000	4	348513	2.175000		
metodaSitaRownoleglaDomenowa	2	5000000	4	348513	0.022000		
metodaSitaRownoleglaFunkcyjna	2	5000000	4	348513	0.074000		
metodaDzielacaRownolegla	2	5000000	8	348513	1.571000		
metodaSitaRownoleglaDomenowa	2	5000000	8	348513	0.023000		
metodaSitaRownoleglaFunkcyjna	2	5000000	8	348513	0.089000		
